,step,reward_mu,win_mu
0,0,0.4366,0.7178
1,5000,0.4314,0.7144
2,10000,0.5284,0.7632
3,15000,0.5236,0.7608
4,20000,0.533,0.7656
5,25000,0.5156,0.7568
6,30000,0.5446,0.7712
7,35000,0.5662,0.7824
8,40000,0.5996,0.7994
9,45000,0.642,0.8206
10,50000,0.6396,0.8192
11,55000,0.5964,0.7978
12,60000,0.6314,0.8154
13,65000,0.6602,0.8294
14,70000,0.6286,0.8136
15,75000,0.6498,0.8242
16,80000,0.6404,0.8192
17,85000,0.739,0.8692
18,90000,0.7708,0.8852
19,95000,0.7578,0.8782
