,step,reward_mu,win_mu
0,0,0.4332,0.7154
1,5000,0.5138,0.7558
2,10000,0.5604,0.7796
3,15000,0.5374,0.7678
4,20000,0.5436,0.7704
5,25000,0.6592,0.829
6,30000,0.6668,0.8324
7,35000,0.664,0.8314
8,40000,0.6808,0.8394
9,45000,0.6944,0.8466
10,50000,0.6982,0.8484
11,55000,0.7298,0.8646
12,60000,0.7332,0.8662
13,65000,0.7502,0.8748
14,70000,0.7494,0.8746
15,75000,0.7546,0.8766
16,80000,0.7626,0.881
17,85000,0.7496,0.8744
18,90000,0.763,0.8812
19,95000,0.7962,0.8976
