,step,reward_mu,win_mu
0,0,0.6684,0.834
1,5000,0.8084,0.9042
2,10000,0.8488,0.9242
3,15000,0.8712,0.9352
4,20000,0.8632,0.9314
5,25000,0.8926,0.946
6,30000,0.9084,0.954
7,35000,0.9072,0.9536
8,40000,0.9128,0.9562
9,45000,0.918,0.9586
10,50000,0.9162,0.958
11,55000,0.9244,0.9622
12,60000,0.9256,0.9626
13,65000,0.917,0.9584
14,70000,0.9206,0.96
15,75000,0.9308,0.9654
16,80000,0.9262,0.963
17,85000,0.9238,0.9618
18,90000,0.9316,0.9654
19,95000,0.923,0.9614
