,step,reward_mu,win_mu
0,0,0.3548,0.6756
1,5000,0.4458,0.7216
2,10000,0.6356,0.8168
3,15000,0.68,0.8396
4,20000,0.7236,0.8614
5,25000,0.7868,0.8932
6,30000,0.8488,0.9238
7,35000,0.864,0.9318
8,40000,0.87,0.9348
9,45000,0.8808,0.9402
10,50000,0.8846,0.9422
11,55000,0.8916,0.9458
12,60000,0.9018,0.9504
13,65000,0.9036,0.9514
14,70000,0.9042,0.9518
15,75000,0.8942,0.9468
16,80000,0.9,0.9498
17,85000,0.92,0.9598
18,90000,0.9118,0.9556
19,95000,0.9108,0.9554
