,step,reward_mu,win_mu
0,0,0.3588,0.6782
1,5000,0.367,0.6828
2,10000,0.3726,0.685
3,15000,0.4776,0.7374
4,20000,0.4682,0.733
5,25000,0.4796,0.7392
6,30000,0.535,0.7664
7,35000,0.5668,0.7826
8,40000,0.6002,0.7992
9,45000,0.6752,0.8362
10,50000,0.6804,0.8394
11,55000,0.6904,0.8446
12,60000,0.7162,0.8574
13,65000,0.6942,0.8466
14,70000,0.7294,0.8642
15,75000,0.75,0.8742
16,80000,0.7534,0.8762
17,85000,0.7558,0.8772
18,90000,0.769,0.884
19,95000,0.7618,0.8802
