,step,reward_mu,win_mu
0,0,0.447,0.7224
1,5000,0.5362,0.7672
2,10000,0.5762,0.7876
3,15000,0.5926,0.7956
4,20000,0.7014,0.85
5,25000,0.7116,0.855
6,30000,0.723,0.8608
7,35000,0.7526,0.8756
8,40000,0.781,0.89
9,45000,0.803,0.9012
10,50000,0.8056,0.9024
11,55000,0.8148,0.9072
12,60000,0.8256,0.9124
13,65000,0.8414,0.9206
14,70000,0.8356,0.9174
15,75000,0.8328,0.916
16,80000,0.8608,0.93
17,85000,0.8392,0.9192
18,90000,0.842,0.9206
19,95000,0.8312,0.9154
