,step,reward_mu,win_mu
0,0,0.527,0.7624
1,5000,0.7052,0.8522
2,10000,0.7722,0.8858
3,15000,0.8068,0.9032
4,20000,0.823,0.9114
5,25000,0.8416,0.9206
6,30000,0.8608,0.9298
7,35000,0.8666,0.933
8,40000,0.8612,0.9304
9,45000,0.889,0.9444
10,50000,0.9018,0.9508
11,55000,0.891,0.9454
12,60000,0.885,0.9422
13,65000,0.877,0.9382
14,70000,0.902,0.9508
15,75000,0.8842,0.9418
16,80000,0.8964,0.9482
17,85000,0.894,0.9466
18,90000,0.899,0.9492
19,95000,0.8986,0.9492
