,step,reward_mu,win_mu
0,0,0.7494,0.8742
1,5000,0.8342,0.9168
2,10000,0.8416,0.9206
3,15000,0.8988,0.949
4,20000,0.899,0.9492
5,25000,0.8976,0.9486
6,30000,0.8976,0.9486
7,35000,0.9094,0.9546
8,40000,0.918,0.959
9,45000,0.9168,0.9584
10,50000,0.9186,0.9592
11,55000,0.9132,0.9564
12,60000,0.921,0.9602
13,65000,0.9226,0.9612
14,70000,0.9348,0.9674
15,75000,0.9186,0.9588
16,80000,0.9238,0.9616
17,85000,0.9126,0.9562
18,90000,0.9166,0.9582
19,95000,0.9276,0.9636
