,step,reward_mu,win_mu
0,0,0.6488,0.824
1,5000,0.7922,0.896
2,10000,0.841,0.92
3,15000,0.8616,0.9306
4,20000,0.8714,0.9356
5,25000,0.8768,0.9382
6,30000,0.8836,0.9416
7,35000,0.9034,0.9516
8,40000,0.8942,0.947
9,45000,0.8942,0.9468
10,50000,0.8876,0.9436
11,55000,0.9192,0.9596
12,60000,0.8936,0.9466
13,65000,0.9112,0.9552
14,70000,0.9092,0.9546
15,75000,0.9274,0.9634
16,80000,0.911,0.9552
17,85000,0.925,0.9624
18,90000,0.9234,0.9616
19,95000,0.9288,0.9644
