,step,reward_mu,win_mu
0,0,0.4274,0.7124
1,5000,0.5036,0.7516
2,10000,0.6094,0.8038
3,15000,0.7286,0.8638
4,20000,0.723,0.8608
5,25000,0.7522,0.8754
6,30000,0.7646,0.8818
7,35000,0.8094,0.9046
8,40000,0.7932,0.896
9,45000,0.7844,0.8918
10,50000,0.8214,0.9104
11,55000,0.8138,0.9064
12,60000,0.8156,0.9074
13,65000,0.8036,0.9012
14,70000,0.8212,0.9104
15,75000,0.8738,0.9364
16,80000,0.8258,0.9124
17,85000,0.835,0.917
18,90000,0.854,0.9266
19,95000,0.8502,0.925
