,step,reward_mu,win_mu
0,0,0.5424,0.7702
1,5000,0.5984,0.7986
2,10000,0.7416,0.8704
3,15000,0.7696,0.8842
4,20000,0.7984,0.8986
5,25000,0.8136,0.9064
6,30000,0.8338,0.9168
7,35000,0.8374,0.9186
8,40000,0.8452,0.9224
9,45000,0.8578,0.9286
10,50000,0.872,0.9356
11,55000,0.876,0.9378
12,60000,0.8796,0.9396
13,65000,0.8704,0.9352
14,70000,0.8782,0.939
15,75000,0.8762,0.9376
16,80000,0.88,0.9396
17,85000,0.888,0.9438
18,90000,0.8816,0.9406
19,95000,0.9072,0.9536
