,step,reward_mu,win_mu
0,0,0.5656,0.7824
1,5000,0.687,0.843
2,10000,0.7664,0.883
3,15000,0.8112,0.905
4,20000,0.8358,0.9178
5,25000,0.8192,0.9094
6,30000,0.8262,0.9128
7,35000,0.837,0.9182
8,40000,0.8604,0.93
9,45000,0.8338,0.9168
10,50000,0.8558,0.9278
11,55000,0.8526,0.926
12,60000,0.8706,0.9352
13,65000,0.8718,0.935
14,70000,0.8824,0.941
15,75000,0.8856,0.9424
16,80000,0.8912,0.9456
17,85000,0.8908,0.9452
18,90000,0.9004,0.9502
19,95000,0.9062,0.953
