,step,reward_mu,win_mu
0,0,0.6512,0.8248
1,5000,0.7764,0.888
2,10000,0.8242,0.9118
3,15000,0.8434,0.9216
4,20000,0.874,0.9368
5,25000,0.8952,0.9472
6,30000,0.8902,0.945
7,35000,0.8952,0.9474
8,40000,0.9156,0.9572
9,45000,0.9256,0.9628
10,50000,0.9162,0.958
11,55000,0.9128,0.9564
12,60000,0.9184,0.959
13,65000,0.9114,0.9554
14,70000,0.9114,0.9556
15,75000,0.9226,0.961
16,80000,0.9252,0.9624
17,85000,0.9208,0.9602
18,90000,0.9238,0.9618
19,95000,0.925,0.9624
