,step,reward_mu,win_mu
0,0,0.4068,0.7026
1,5000,0.3742,0.6862
2,10000,0.4284,0.7124
3,15000,0.4468,0.7222
4,20000,0.5024,0.7502
5,25000,0.5034,0.751
6,30000,0.5398,0.7694
7,35000,0.5548,0.7766
8,40000,0.5638,0.7812
9,45000,0.5694,0.7838
10,50000,0.5734,0.7864
11,55000,0.6084,0.8034
12,60000,0.6232,0.8108
13,65000,0.6516,0.8254
14,70000,0.662,0.8304
15,75000,0.6502,0.8246
16,80000,0.6378,0.8182
17,85000,0.6478,0.8228
18,90000,0.6902,0.8446
19,95000,0.737,0.868
