,step,reward_mu,win_mu
0,0,0.387,0.6922
1,5000,0.4148,0.7062
2,10000,0.4452,0.7212
3,15000,0.4282,0.7132
4,20000,0.4578,0.7278
5,25000,0.4888,0.7434
6,30000,0.5394,0.7686
7,35000,0.5718,0.7854
8,40000,0.6088,0.8036
9,45000,0.5926,0.7956
10,50000,0.6456,0.8218
11,55000,0.6656,0.832
12,60000,0.6076,0.8032
13,65000,0.7072,0.8532
14,70000,0.694,0.8464
15,75000,0.7032,0.8508
16,80000,0.7156,0.8574
17,85000,0.7334,0.8664
18,90000,0.7468,0.8726
19,95000,0.7398,0.8694
