,filename,solvable,time_elapsed,max_depth,backtracks,solved_literals,n_steps,heuristic_used
966,9by9_cnf/9by9_967.cnf,True,0.5031758999998601,68,138,5656,299,DLCS
967,9by9_cnf/9by9_968.cnf,True,0.07607659999985117,22,16,1207,39,DLCS
968,9by9_cnf/9by9_969.cnf,True,0.5030559000001631,53,213,7304,436,DLCS
969,9by9_cnf/9by9_970.cnf,True,0.7014503000000332,59,256,9065,517,DLCS
970,9by9_cnf/9by9_971.cnf,True,0.6419699000002765,62,193,8235,398,DLCS
971,9by9_cnf/9by9_972.cnf,True,0.16348410000000513,42,41,2992,84,DLCS
972,9by9_cnf/9by9_973.cnf,True,0.4310273999999481,60,126,5402,276,DLCS
973,9by9_cnf/9by9_974.cnf,True,0.14984240000012505,52,31,1603,84,DLCS
974,9by9_cnf/9by9_975.cnf,True,0.8462346000001162,76,275,9725,566,DLCS
975,9by9_cnf/9by9_976.cnf,True,0.1578374000000622,49,32,1860,82,DLCS
976,9by9_cnf/9by9_977.cnf,True,0.13426579999986643,48,24,1519,73,DLCS
977,9by9_cnf/9by9_978.cnf,True,0.18574420000004466,43,56,2155,113,DLCS
978,9by9_cnf/9by9_979.cnf,True,0.4406290000001718,68,114,4629,262,DLCS
979,9by9_cnf/9by9_980.cnf,True,0.10218300000042291,27,22,1529,50,DLCS
980,9by9_cnf/9by9_981.cnf,True,1.1554463000002215,80,366,11881,753,DLCS
981,9by9_cnf/9by9_982.cnf,True,1.6347507000000405,65,522,18228,1059,DLCS
982,9by9_cnf/9by9_983.cnf,True,0.3281369999999697,54,114,4355,232,DLCS
983,9by9_cnf/9by9_984.cnf,True,1.1585109999996348,72,344,11979,720,DLCS
984,9by9_cnf/9by9_985.cnf,True,0.11246220000020912,30,21,1314,52,DLCS
985,9by9_cnf/9by9_986.cnf,True,0.3611081999997623,52,109,4328,225,DLCS
986,9by9_cnf/9by9_987.cnf,True,0.0828271999998833,18,17,1301,40,DLCS
987,9by9_cnf/9by9_988.cnf,True,0.31724789999998393,60,87,4030,188,DLCS
988,9by9_cnf/9by9_989.cnf,True,0.13638739999987592,38,32,1846,71,DLCS
989,9by9_cnf/9by9_990.cnf,True,0.3683770999996341,75,87,3556,198,DLCS
990,9by9_cnf/9by9_991.cnf,True,0.04665019999993092,0,0,729,1,DLCS
991,9by9_cnf/9by9_992.cnf,True,2.121596199999658,74,857,30583,1732,DLCS
