,filename,solvable,time_elapsed,max_depth,backtracks,solved_literals,n_steps,heuristic_used
0,9by9_cnf/9by9_1.cnf,True,0.13436060000003636,17,12,965,30,JWTwoSide
1,9by9_cnf/9by9_2.cnf,True,0.04978949999986071,0,0,729,1,JWTwoSide
2,9by9_cnf/9by9_3.cnf,True,0.23549159999993208,57,29,1831,87,JWTwoSide
3,9by9_cnf/9by9_4.cnf,True,0.05229860000008557,0,0,729,1,JWTwoSide
4,9by9_cnf/9by9_5.cnf,True,0.07139610000012908,0,0,729,1,JWTwoSide
5,9by9_cnf/9by9_6.cnf,True,0.21985689999974056,45,37,2235,86,JWTwoSide
6,9by9_cnf/9by9_7.cnf,True,0.07742499999994834,0,0,729,1,JWTwoSide
7,9by9_cnf/9by9_8.cnf,True,0.04999120000002222,0,0,729,1,JWTwoSide
8,9by9_cnf/9by9_9.cnf,True,0.04775850000032733,0,0,729,1,JWTwoSide
9,9by9_cnf/9by9_10.cnf,True,0.13268299999981537,18,7,1173,32,JWTwoSide
10,9by9_cnf/9by9_11.cnf,True,5.2856306000003315,89,1214,41500,2440,JWTwoSide
11,9by9_cnf/9by9_12.cnf,True,0.04300749999993059,0,0,729,1,JWTwoSide
12,9by9_cnf/9by9_13.cnf,True,0.09468229999993127,27,12,1067,40,JWTwoSide
13,9by9_cnf/9by9_14.cnf,True,0.14736690000017916,30,20,1394,56,JWTwoSide
14,9by9_cnf/9by9_15.cnf,True,0.07639749999998457,11,0,729,12,JWTwoSide
15,9by9_cnf/9by9_16.cnf,True,0.3570402999998805,70,67,2832,150,JWTwoSide
16,9by9_cnf/9by9_17.cnf,True,0.06624069999998028,0,0,729,1,JWTwoSide
17,9by9_cnf/9by9_18.cnf,True,0.05499659999986761,0,0,729,1,JWTwoSide
18,9by9_cnf/9by9_19.cnf,True,0.06150190000016664,0,0,729,1,JWTwoSide
19,9by9_cnf/9by9_20.cnf,True,0.04959789999975328,0,0,729,1,JWTwoSide
20,9by9_cnf/9by9_21.cnf,True,0.06940020000001823,0,0,729,1,JWTwoSide
21,9by9_cnf/9by9_22.cnf,True,0.0870295999998234,21,17,1116,39,JWTwoSide
22,9by9_cnf/9by9_23.cnf,True,0.607580599999892,58,154,6558,344,JWTwoSide
23,9by9_cnf/9by9_24.cnf,True,0.05810380000002624,0,0,729,1,JWTwoSide
24,9by9_cnf/9by9_25.cnf,True,0.054470499999752064,5,0,729,6,JWTwoSide
25,9by9_cnf/9by9_26.cnf,True,0.5227546000000984,49,184,6634,375,JWTwoSide
26,9by9_cnf/9by9_27.cnf,True,0.13561829999980546,31,21,1378,53,JWTwoSide
27,9by9_cnf/9by9_28.cnf,True,1.2819945999999618,99,258,9272,554,JWTwoSide
28,9by9_cnf/9by9_29.cnf,True,0.06234839999979158,0,0,729,1,JWTwoSide
29,9by9_cnf/9by9_30.cnf,True,0.04413399999975809,0,0,729,1,JWTwoSide
30,9by9_cnf/9by9_31.cnf,True,0.088849200000368,22,14,1014,37,JWTwoSide
31,9by9_cnf/9by9_32.cnf,True,0.055221999999957916,0,0,729,1,JWTwoSide
32,9by9_cnf/9by9_33.cnf,True,0.13180970000030356,21,16,1288,38,JWTwoSide
33,9by9_cnf/9by9_34.cnf,True,0.04832779999969716,0,0,729,1,JWTwoSide
34,9by9_cnf/9by9_35.cnf,True,1.5236385999996855,75,386,13314,775,JWTwoSide
35,9by9_cnf/9by9_36.cnf,True,2.761043900000004,88,546,22638,1113,JWTwoSide
36,9by9_cnf/9by9_37.cnf,True,0.05169900000009875,7,4,794,12,JWTwoSide
37,9by9_cnf/9by9_38.cnf,True,0.24447190000000774,41,84,2756,176,JWTwoSide
38,9by9_cnf/9by9_39.cnf,True,0.04555269999991651,0,0,729,1,JWTwoSide
39,9by9_cnf/9by9_40.cnf,True,0.1446574999999939,31,30,1665,62,JWTwoSide
40,9by9_cnf/9by9_41.cnf,True,10.815700799999831,94,2429,80713,4882,JWTwoSide
41,9by9_cnf/9by9_42.cnf,True,0.052835700000287034,0,0,729,1,JWTwoSide
42,9by9_cnf/9by9_43.cnf,True,0.060452299999724346,0,0,729,1,JWTwoSide
43,9by9_cnf/9by9_44.cnf,True,0.13274900000033085,37,27,1483,65,JWTwoSide
44,9by9_cnf/9by9_45.cnf,True,0.31997939999973823,49,66,3035,169,JWTwoSide
45,9by9_cnf/9by9_46.cnf,True,0.8279218000002402,72,228,6759,475,JWTwoSide
46,9by9_cnf/9by9_47.cnf,True,0.06914150000011432,0,0,729,1,JWTwoSide
47,9by9_cnf/9by9_48.cnf,True,0.045844299999771465,0,0,729,1,JWTwoSide
48,9by9_cnf/9by9_49.cnf,True,2.4570496000001185,73,644,22132,1308,JWTwoSide
49,9by9_cnf/9by9_50.cnf,True,0.5606954999998379,65,127,3768,271,JWTwoSide
50,9by9_cnf/9by9_51.cnf,True,0.057695800000146846,0,0,729,1,JWTwoSide
51,9by9_cnf/9by9_52.cnf,True,0.051436199999898236,0,0,729,1,JWTwoSide
